Resolution,Traffic,K,A,T,M,ParamSweep Path,OpenCV Path,Otsu Path,SSIM OpenCV AVG,SSIM OpenCV Var,SSIM OpenCV Med,SSIM Otsu AVG,SSIM Otsu Var,SSIM Otsu Med,Frames Compared
120p,Traffic1,K2,A0.01_,T0.7,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K2\A0.01_\T0.7\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7171,0.1325,0.8844,0.8223,0.0168,0.8462,5
120p,Traffic1,K2,A0.01_,T0.7,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K2\A0.01_\T0.7\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.7291,0.1371,0.9145,0.8609,0.0114,0.8791,5
120p,Traffic1,K2,A0.01_,T0.7,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K2\A0.01_\T0.7\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.738,0.1392,0.928,0.8748,0.0105,0.9038,5
120p,Traffic1,K2,A0.01_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K2\A0.01_\T0.9\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7326,0.1368,0.9093,0.8396,0.0129,0.8498,5
120p,Traffic1,K2,A0.01_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K2\A0.01_\T0.9\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.7393,0.1404,0.9428,0.8738,0.0094,0.8867,5
120p,Traffic1,K2,A0.01_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K2\A0.01_\T0.9\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.7515,0.1434,0.9596,0.8895,0.0079,0.9114,5
120p,Traffic1,K2,A0.1_,T0.5,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K2\A0.1_\T0.5\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7151,0.1313,0.8802,0.8398,0.0105,0.8241,5
120p,Traffic1,K2,A0.1_,T0.5,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K2\A0.1_\T0.5\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.731,0.1376,0.9252,0.8842,0.006,0.8984,5
120p,Traffic1,K2,A0.1_,T0.5,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K2\A0.1_\T0.5\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.7377,0.1399,0.9362,0.8991,0.0048,0.911,5
120p,Traffic1,K2,A0.1_,T0.7,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K2\A0.1_\T0.7\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7326,0.1389,0.9577,0.865,0.0078,0.8554,5
