Resolution,Traffic,K,A,T,M,ParamSweep Path,OpenCV Path,Otsu Path,SSIM OpenCV AVG,SSIM OpenCV Var,SSIM OpenCV Med,SSIM Otsu AVG,SSIM Otsu Var,SSIM Otsu Med,Frames Compared
120p,Traffic4,K2,A0.001_,T0.5,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.001_\T0.5\M3\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic4\Traffic4-Mask.mp4,0.0167,0.0002,0.0142,0.2313,0.1477,0.04,5
120p,Traffic4,K2,A0.001_,T0.5,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.001_\T0.5\M4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic4\Traffic4-Mask.mp4,0.0752,0.0031,0.0782,0.2867,0.1283,0.1,5
120p,Traffic4,K2,A0.001_,T0.5,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.001_\T0.5\M5\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic4\Traffic4-Mask.mp4,0.0758,0.0033,0.0735,0.2848,0.1293,0.0919,5
120p,Traffic4,K2,A0.001_,T0.7,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.001_\T0.7\M3\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic4\Traffic4-Mask.mp4,0.0167,0.0002,0.0142,0.2313,0.1477,0.04,5
120p,Traffic4,K2,A0.001_,T0.7,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.001_\T0.7\M4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic4\Traffic4-Mask.mp4,0.0752,0.0031,0.0782,0.2867,0.1283,0.1,5
120p,Traffic4,K2,A0.001_,T0.7,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.001_\T0.7\M5\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic4\Traffic4-Mask.mp4,0.0758,0.0033,0.0735,0.2848,0.1293,0.0919,5
120p,Traffic4,K2,A0.001_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.001_\T0.9\M3\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic4\Traffic4-Mask.mp4,0.0224,0.0002,0.0281,0.2372,0.1455,0.0483,5
120p,Traffic4,K2,A0.001_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.001_\T0.9\M4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic4\Traffic4-Mask.mp4,0.0843,0.0029,0.0865,0.2964,0.1244,0.109,5
120p,Traffic4,K2,A0.001_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.001_\T0.9\M5\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic4\Traffic4-Mask.mp4,0.0849,0.0031,0.0817,0.2946,0.1253,0.1039,5
120p,Traffic4,K2,A0.01_,T0.5,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.01_\T0.5\M3\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic4\Traffic4-Mask.mp4,0.0713,0.0017,0.0733,0.2831,0.1286,0.1125,5
