Parameter,Resolution,Video,Average FPS,Total Gaussian Time,Total Tracking Time,Total Processing Time
K-1,1080p,Traffic1,2.661771916620302,470.60829837730853,47.70982750208344,691.8268879519892
K-1,1080p,Traffic2,2.6832245381497257,697.2934712872957,129.91748827102123,1118.282850268355
K-1,1080p,Traffic3,2.6162906528318652,211.3016074252664,26.977377447357842,322.8895616172231
K-1,1080p,Traffic4,2.625001461617879,137.8916452410631,55.540959200414356,256.5050483599771
K-1,1080p,Traffic5,3.1196732108596,392.3645936092944,23.916993282851706,561.8947357615689
K-1,120p,Traffic1,348.42788668691213,3.517568676557798,0.3905094785149543,6.968726064776943
K-1,120p,Traffic2,356.85558999609924,5.170449155557346,0.4887364063178215,10.629701221419875
K-1,120p,Traffic3,343.18702512694017,1.5534877027966747,0.115214822406389,2.923330352932655
K-1,120p,Traffic4,332.2234377053942,1.0675844303914164,0.0702288800966751,1.9723175634862686
K-1,120p,Traffic5,347.83179715166096,3.560996970045318,0.2912940543609993,6.813424191262978
K-1,1440p,Traffic1,1.8275561690441195,658.4551949638408,89.6258827306446,993.9079750961391
K-1,1440p,Traffic2,2.0443984882146116,904.14162451413,270.48951600980945,1544.6312461317866
K-1,1440p,Traffic3,1.6812724828478622,315.3581643743091,51.591770038532545,500.9004292008467
K-1,1440p,Traffic4,1.4411972186355397,249.7021049176692,218.56179741089,581.8827532450669
K-1,1440p,Traffic5,1.7501616448345083,698.6632089469931,57.02962437918171,1026.4689040704397
K-1,2160p,Traffic1,1.031349694458453,1182.6502244788571,310.39305646781577,1973.4803871302283
K-1,2160p,Traffic2,1.2102131497208752,1495.8015943733626,1120.0511114349356,3297.919328810298
K-1,2160p,Traffic3,0.8505272403466264,624.4547140431241,205.3826324591064,1130.3685708260164
K-1,2160p,Traffic4,0.7230421477359422,484.24191868590424,991.9296083466616,1712.1037467350834
K-1,2160p,Traffic5,1.016315463733554,1223.276983091724,194.4170625429251,1913.9098639127915
K-1,240p,Traffic1,65.29843400252557,18.54634963569691,1.4143048808909349,29.296992635470758
K-1,240p,Traffic2,65.19381681141881,27.963354006234937,2.40136433672151,44.55905974283806
K-1,240p,Traffic3,64.98647804433125,8.178907984867667,0.4614357111276797,13.027667040005301
K-1,240p,Traffic4,62.75707964775171,5.576558131491749,0.3060890231863424,8.793710550642555
K-1,240p,Traffic5,65.40570941167944,18.877995840099118,0.942669387091822,28.40234454756131
K-1,360p,Traffic1,29.063303627070834,41.58883177558886,2.967108843265975,60.881338867417014
K-1,360p,Traffic2,28.295122338638542,64.63213417632497,5.646697236108505,96.69265037454889
K-1,360p,Traffic3,27.5246292037081,19.44932961370793,1.3532380093820136,29.28701082378391
K-1,360p,Traffic4,27.289899412994227,12.929871133121182,0.799240315391199,19.852037580625606
K-1,360p,Traffic5,28.53731030339498,43.092698403866905,2.1693504250724214,61.08215595991345
