Resolution,Traffic,K,A,T,M,ParamSweep Path,OpenCV Path,Otsu Path,SSIM OpenCV AVG,SSIM OpenCV Var,SSIM OpenCV Med,SSIM Otsu AVG,SSIM Otsu Var,SSIM Otsu Med,Frames Compared
120p,Traffic5,K2,A0.001_,T0.5,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.001_\T0.5\M3\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic5\Traffic5-Mask.mp4,0.5302,0.0835,0.5381,0.7056,0.024,0.6856,5
120p,Traffic5,K2,A0.001_,T0.5,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.001_\T0.5\M4\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic5\Traffic5-Mask.mp4,0.5719,0.0907,0.6126,0.7407,0.0183,0.7178,5
120p,Traffic5,K2,A0.001_,T0.5,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.001_\T0.5\M5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic5\Traffic5-Mask.mp4,0.5718,0.0907,0.6128,0.7517,0.0193,0.7566,5
120p,Traffic5,K2,A0.001_,T0.7,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.001_\T0.7\M3\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic5\Traffic5-Mask.mp4,0.586,0.0967,0.7815,0.7279,0.0204,0.6895,5
120p,Traffic5,K2,A0.001_,T0.7,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.001_\T0.7\M4\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic5\Traffic5-Mask.mp4,0.6192,0.1034,0.8298,0.7588,0.0158,0.72,5
120p,Traffic5,K2,A0.001_,T0.7,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.001_\T0.7\M5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic5\Traffic5-Mask.mp4,0.6191,0.1034,0.8293,0.7821,0.0152,0.765,5
120p,Traffic5,K2,A0.001_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.001_\T0.9\M3\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic5\Traffic5-Mask.mp4,0.6571,0.108,0.822,0.7583,0.0147,0.6943,5
120p,Traffic5,K2,A0.001_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.001_\T0.9\M4\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic5\Traffic5-Mask.mp4,0.691,0.1197,0.8485,0.7968,0.0107,0.7476,5
120p,Traffic5,K2,A0.001_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.001_\T0.9\M5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic5\Traffic5-Mask.mp4,0.6909,0.1197,0.8485,0.8342,0.0072,0.7974,5
120p,Traffic5,K2,A0.01_,T0.5,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.01_\T0.5\M3\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic5\Traffic5-Mask.mp4,0.7335,0.1345,0.9102,0.8085,0.0093,0.7581,5
120p,Traffic5,K2,A0.01_,T0.5,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.01_\T0.5\M4\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic5\Traffic5-Mask.mp4,0.762,0.1452,0.9459,0.8531,0.0054,0.8173,5
120p,Traffic5,K2,A0.01_,T0.5,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.01_\T0.5\M5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic5\Traffic5-Mask.mp4,0.7635,0.1457,0.949,0.8993,0.0025,0.8737,5
120p,Traffic5,K2,A0.01_,T0.7,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.01_\T0.7\M3\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic5\Traffic5-Mask.mp4,0.7408,0.1372,0.9224,0.813,0.0088,0.7686,5
120p,Traffic5,K2,A0.01_,T0.7,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.01_\T0.7\M4\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic5\Traffic5-Mask.mp4,0.7654,0.1465,0.9539,0.8566,0.0051,0.8227,5
120p,Traffic5,K2,A0.01_,T0.7,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.01_\T0.7\M5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic5\Traffic5-Mask.mp4,0.7674,0.1472,0.954,0.903,0.0024,0.8807,5
120p,Traffic5,K2,A0.01_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.01_\T0.9\M3\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic5\Traffic5-Mask.mp4,0.7587,0.144,0.9361,0.8218,0.008,0.7769,5
120p,Traffic5,K2,A0.01_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.01_\T0.9\M4\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic5\Traffic5-Mask.mp4,0.7874,0.155,0.9767,0.8703,0.0042,0.8367,5
120p,Traffic5,K2,A0.01_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.01_\T0.9\M5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic5\Traffic5-Mask.mp4,0.7936,0.1574,0.9915,0.9225,0.0016,0.9043,5
