Best Settings Category,Category,Use Object Detection,Refresh Index,Resolution,Traffic Video,K,A,T,M,Raw Size (Bytes),Compressed Size (Bytes)
Best-OpenCV-Settings,Category-NA,False,0,480p,Traffic3,4,0.1,0.9,3,12558393,11633531
Best-OpenCV-Settings,Category-NA,False,0,480p,Traffic4,4,0.1,0.9,3,11127035,7865461
Best-OpenCV-Settings,Category-NA,False,0,480p,Traffic5,4,0.1,0.9,3,8120337,7324417
Best-OpenCV-Settings,Category-NA,False,0,480p,Traffic3,4,0.1,0.9,4,12558393,6953754
Best-OpenCV-Settings,Category-NA,False,0,480p,Traffic5,4,0.1,0.9,4,8120337,5543429
Best-OpenCV-Settings,Category-NA,False,0,480p,Traffic3,4,0.1,0.9,5,12558393,7002830
Best-OpenCV-Settings,Category-NA,False,0,480p,Traffic4,4,0.1,0.9,5,11127035,4374327
Best-OpenCV-Settings,Category-NA,False,0,480p,Traffic5,4,0.1,0.9,5,8120337,5492973
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic3,2,0.1,0.9,4,771679,464606
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic4,2,0.1,0.9,4,772620,345457
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic3,2,0.1,0.9,5,771679,464665
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic1,3,0.01,0.9,3,1113249,1102943
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic1,3,0.01,0.9,4,1113249,1060816
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic1,3,0.01,0.9,5,1113249,1057408
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic4,3,0.1,0.7,5,772620,350177
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic2,4,0.01,0.9,3,2314079,2259033
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic2,4,0.01,0.9,5,2314079,2014733
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic3,4,0.1,0.9,3,771679,485185
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic4,4,0.1,0.9,3,772620,379328
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic5,4,0.1,0.9,3,670191,532454
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic2,4,0.1,0.9,4,2314079,1481829
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic5,4,0.1,0.9,4,670191,490567
Best-OpenCV-Settings,Category-NA,False,10,120p,Traffic5,4,0.1,0.9,5,670191,490717
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic1,3,0.01,0.9,3,4026900,4001486
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic1,3,0.01,0.9,4,4026900,3953102
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic1,3,0.01,0.9,5,4026900,3918946
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic3,3,0.1,0.9,4,3734983,2160049
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic2,4,0.01,0.9,3,9326828,9246235
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic3,4,0.01,0.9,3,3734983,3574953
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic2,4,0.01,0.9,4,9326828,8795612
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic2,4,0.01,0.9,5,9326828,8676022
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic4,4,0.1,0.9,3,3603704,1768011
Best-OpenCV-Settings,Category-NA,False,10,240p,Traffic5,4,0.1,0.9,3,2681853,2111705
