Resolution,Traffic,K,A,T,M,ParamSweep Path,OpenCV Path,Otsu Path,SSIM OpenCV AVG,SSIM OpenCV Var,SSIM OpenCV Med,SSIM Otsu AVG,SSIM Otsu Var,SSIM Otsu Med,Frames Compared,Traffic Video,Method
360p,Traffic1,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic1\K4\A0.1_\T0.9\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\360p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\360p\Traffic1\Traffic1-Mask.mp4,0.7414,0.1415,0.9457,0.9098,0.0037,0.9058,5,Traffic1,Otsu
360p,Traffic2,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic2\K4\A0.1_\T0.9\M4\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\360p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\360p\Traffic2\Traffic2-Mask.mp4,0.7232,0.1313,0.887,0.8397,0.0066,0.8077,5,Traffic2,Otsu
360p,Traffic3,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic3\K4\A0.1_\T0.9\M4\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\360p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\360p\Traffic3\Traffic3-Mask.mp4,0.7115,0.1267,0.8812,0.7892,0.012,0.7419,5,Traffic3,Otsu
360p,Traffic4,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic4\K4\A0.1_\T0.9\M4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\360p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\360p\Traffic4\Traffic4-Mask.mp4,0.5566,0.0873,0.6063,0.6711,0.0306,0.6074,5,Traffic4,Otsu
360p,Traffic5,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic5\K4\A0.1_\T0.9\M4\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\360p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\360p\Traffic5\Traffic5-Mask.mp4,0.7747,0.15,0.9651,0.9049,0.0023,0.8813,5,Traffic5,Otsu
360p,Traffic1,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic1\K4\A0.1_\T0.9\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\360p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\360p\Traffic1\Traffic1-Mask.mp4,0.7474,0.1433,0.9563,0.9219,0.0028,0.919,5,Traffic1,Otsu
360p,Traffic2,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic2\K4\A0.1_\T0.9\M5\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\360p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\360p\Traffic2\Traffic2-Mask.mp4,0.7318,0.1343,0.8988,0.8841,0.0036,0.8529,5,Traffic2,Otsu
360p,Traffic3,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic3\K4\A0.1_\T0.9\M5\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\360p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\360p\Traffic3\Traffic3-Mask.mp4,0.7305,0.1335,0.9049,0.8581,0.0056,0.8271,5,Traffic3,Otsu
360p,Traffic4,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic4\K4\A0.1_\T0.9\M5\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\360p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\360p\Traffic4\Traffic4-Mask.mp4,0.629,0.1072,0.7047,0.7443,0.0192,0.6958,5,Traffic4,Otsu
360p,Traffic5,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic5\K4\A0.1_\T0.9\M5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\360p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\360p\Traffic5\Traffic5-Mask.mp4,0.7824,0.153,0.9754,0.9082,0.0021,0.885,5,Traffic5,Otsu
